id,plant_id,timestamp,electricity_consumption_kwh,diesel_consumption_liters,natural_gas_consumption_m3,production_quantity,raw_material_consumption_kg,machine_runtime_hours,temperature_c,pressure_bar,previous_co2_emission_kg,actual_co2_emission_kg
1,1,2026-01-01 00:00:00,20429.7,1151.7,3381.2,3667.2,8267.3,20.1,39.4,4.96,17635.7,18505.9
2,2,2026-01-01 00:00:00,14502.4,692.3,3238.4,3472.2,7702.5,16.1,23.3,7.62,16261.7,17105.9
3,3,2026-01-01 00:00:00,15671.6,735.2,2891.5,2466.0,5494.5,21.7,20.2,5.01,13022.7,12889.0
4,4,2026-01-01 00:00:00,9561.5,459.0,1735.3,1698.0,3391.5,21.7,37.9,7.78,5889.5,5844.3
5,5,2026-01-01 00:00:00,5950.7,274.0,1104.9,1148.1,2377.8,20.7,20.4,5.97,2925.0,2965.1
6,1,2026-01-02 00:00:00,18355.3,1001.1,3249.7,3144.1,7122.2,17.5,22.1,8.36,16255.0,16453.3
7,2,2026-01-02 00:00:00,21531.7,1124.2,5041.0,5217.3,11605.8,23.4,23.5,4.67,24553.8,25137.6
8,3,2026-01-02 00:00:00,11993.7,602.2,2181.9,1727.0,4090.5,16.0,39.9,6.93,9118.3,9355.3
9,4,2026-01-02 00:00:00,7891.1,412.2,1528.1,1516.0,2857.2,19.3,41.9,7.2,4517.4,4731.7
10,5,2026-01-02 00:00:00,4744.8,222.3,816.0,829.3,1765.9,15.0,41.9,7.3,2423.9,2339.5
11,1,2026-01-03 00:00:00,16057.7,876.7,2480.3,2363.9,5767.2,14.1,20.7,6.8,14498.9,13869.5
12,2,2026-01-03 00:00:00,19310.2,1059.4,4472.3,5030.8,11220.5,22.3,25.2,7.89,22578.3,23390.3
13,3,2026-01-03 00:00:00,14933.5,783.3,2980.6,2025.9,5356.9,21.2,18.5,9.42,13046.4,12627.6
14,4,2026-01-03 00:00:00,6674.5,381.7,1346.8,1251.2,2613.6,16.9,19.7,8.53,4161.2,4321.8
15,5,2026-01-03 00:00:00,5780.7,246.8,1070.6,1094.6,2117.6,18.5,30.9,8.37,2697.1,2748.9
16,1,2026-01-04 00:00:00,26469.9,1392.5,4122.6,3831.9,8985.9,23.5,26.1,7.62,21722.5,22347.7
17,2,2026-01-04 00:00:00,13507.5,660.4,3262.2,3286.8,6503.1,14.7,23.7,8.05,15144.1,15722.2
18,3,2026-01-04 00:00:00,16212.2,797.1,3333.7,2537.6,5659.1,22.9,20.3,6.78,13419.7,13464.1
19,4,2026-01-04 00:00:00,9128.9,481.4,1479.4,1642.7,3156.2,20.9,38.7,5.82,5144.8,5171.4
20,5,2026-01-04 00:00:00,5382.3,239.4,1048.7,1068.9,2284.9,18.0,31.2,4.77,2899.9,2805.6
21,1,2026-01-05 00:00:00,27260.9,1489.1,3870.3,4049.5,8855.0,23.2,27.6,4.81,23972.9,22863.3
22,2,2026-01-05 00:00:00,15525.0,776.7,3427.7,3750.2,8458.8,16.5,31.3,8.31,17063.3,17417.4
23,3,2026-01-05 00:00:00,16445.7,818.9,3360.8,2241.8,6113.2,23.2,30.1,9.02,13767.8,13161.4
24,4,2026-01-05 00:00:00,5973.8,316.7,1137.2,1127.6,2154.5,14.8,39.4,5.8,3752.0,3707.7
25,5,2026-01-05 00:00:00,5654.7,253.1,1050.3,1022.5,2234.7,18.0,23.7,6.6,2736.3,2792.1
26,1,2026-01-06 00:00:00,19453.6,932.8,2957.6,3241.9,7339.8,17.0,19.8,5.63,17145.5,16433.5
27,2,2026-01-06 00:00:00,21383.4,1036.2,4478.6,4986.6,10986.5,22.4,32.7,9.73,23093.7,24289.2
28,3,2026-01-06 00:00:00,14770.2,787.9,3239.5,2138.3,5319.2,21.8,20.6,7.43,12562.0,12431.7
29,4,2026-01-06 00:00:00,8420.8,448.5,1508.5,1660.6,3433.1,20.8,38.3,4.99,4973.8,5087.4
30,5,2026-01-06 00:00:00,4528.3,201.4,744.3,876.5,1693.9,14.0,28.3,4.55,2145.0,2065.9
31,1,2026-01-07 00:00:00,25041.3,1446.7,4000.7,3704.5,8501.1,22.6,25.4,9.26,23467.3,22650.3
32,2,2026-01-07 00:00:00,19310.6,1015.2,4462.2,4963.2,11344.4,22.5,27.8,7.79,23331.2,22369.6
33,3,2026-01-07 00:00:00,16724.0,825.3,3274.0,2131.6,5990.5,22.2,26.0,9.43,14270.4,13769.1
34,4,2026-01-07 00:00:00,8878.4,481.9,1538.2,1852.3,3556.5,21.7,23.3,8.83,5275.9,5380.7
35,5,2026-01-07 00:00:00,6404.2,273.6,1137.0,1255.9,2743.1,21.6,41.2,5.98,3095.6,3127.0
36,1,2026-01-08 00:00:00,25778.5,1520.8,3857.9,4422.8,8840.7,23.3,41.1,5.91,21965.3,22110.0
37,2,2026-01-08 00:00:00,18249.2,1013.8,4396.0,4298.3,10049.2,20.9,24.1,8.26,21940.1,21044.5
38,3,2026-01-08 00:00:00,13839.4,700.8,2737.9,1956.5,4624.3,19.1,33.9,6.25,11538.7,11150.6
39,4,2026-01-08 00:00:00,8557.6,420.1,1540.0,1634.8,3118.6,20.8,21.1,6.73,5408.7,5314.5
40,5,2026-01-08 00:00:00,7135.5,303.8,1251.3,1234.1,2619.5,22.6,28.3,7.57,3400.3,3412.2
41,1,2026-01-09 00:00:00,19102.9,1086.1,3363.9,3354.7,6895.3,18.2,20.0,7.23,17616.9,17912.1
42,2,2026-01-09 00:00:00,20408.4,1071.3,4401.5,4330.1,9567.1,21.8,23.9,7.02,22655.4,23666.4
43,3,2026-01-09 00:00:00,12790.2,588.2,2574.9,1877.6,4463.4,17.9,33.7,4.53,10946.9,10659.1
44,4,2026-01-09 00:00:00,6298.6,294.6,1197.1,1203.9,2157.7,15.0,24.0,9.0,3928.1,3813.2
45,5,2026-01-09 00:00:00,6784.2,289.6,1186.8,1303.8,2479.9,20.3,35.3,7.18,3351.8,3335.8
46,1,2026-01-10 00:00:00,25714.9,1343.2,3804.8,3758.4,9198.2,22.5,36.4,7.26,21579.0,22076.6
47,2,2026-01-10 00:00:00,12776.4,666.4,3009.1,3109.3,6578.5,14.7,23.6,8.18,14760.0,15432.5
48,3,2026-01-10 00:00:00,12615.4,615.9,2403.1,1852.5,4955.5,17.9,32.0,8.19,10744.2,10466.2
49,4,2026-01-10 00:00:00,6888.7,358.6,1366.8,1497.6,2925.9,17.6,28.1,8.46,4442.5,4397.1
50,5,2026-01-10 00:00:00,4766.9,222.5,827.1,937.5,1987.4,16.1,27.7,5.37,2216.4,2302.1
51,1,2026-01-11 00:00:00,20233.2,1168.7,3513.9,3186.1,8141.8,19.9,21.3,6.95,17601.6,17817.0
52,2,2026-01-11 00:00:00,14001.1,799.7,3303.1,3512.4,8003.6,16.0,24.1,4.93,16318.2,16254.1
53,3,2026-01-11 00:00:00,16055.1,847.2,3419.5,2534.9,6358.5,23.5,40.8,5.56,12735.3,13193.9
54,4,2026-01-11 00:00:00,6635.2,323.3,1095.0,1259.7,2456.6,15.2,22.0,7.72,3790.1,3942.1
55,5,2026-01-11 00:00:00,7260.5,281.3,1119.4,1263.7,2690.2,21.8,41.0,6.6,3177.2,3317.9
56,1,2026-01-12 00:00:00,23121.3,1137.6,3742.5,3832.3,8372.4,20.6,20.9,9.71,20482.0,20799.8
57,2,2026-01-12 00:00:00,15952.7,860.8,3716.5,4040.2,9040.9,18.1,20.5,9.59,19913.2,19279.5
58,3,2026-01-12 00:00:00,14340.4,758.4,3086.9,2083.5,5647.4,20.7,30.9,7.06,12415.9,12135.5
59,4,2026-01-12 00:00:00,7407.1,369.4,1165.9,1410.7,2452.7,16.5,29.2,7.73,4027.6,4226.8
60,5,2026-01-12 00:00:00,6502.2,291.6,1266.2,1287.9,2813.4,22.1,34.8,5.96,3272.8,3132.4
61,1,2026-01-13 00:00:00,16853.3,886.0,2683.6,2678.9,6058.2,14.8,29.8,8.7,13922.2,14320.9
62,2,2026-01-13 00:00:00,17965.1,994.5,4309.8,4350.1,9668.4,20.6,35.9,6.25,21472.4,21975.8
63,3,2026-01-13 00:00:00,10783.2,538.7,2173.7,1733.1,4442.9,16.4,22.4,5.65,9180.2,8978.6
64,4,2026-01-13 00:00:00,9941.5,468.1,1649.8,1761.4,3454.0,23.3,22.3,4.57,5608.3,5737.8
65,5,2026-01-13 00:00:00,7284.7,339.1,1214.5,1490.7,2791.9,23.3,38.9,7.54,3473.5,3494.3
66,1,2026-01-14 00:00:00,16132.5,1031.6,2756.4,2925.3,6219.6,15.8,19.8,7.84,14095.5,14607.9
67,2,2026-01-14 00:00:00,16824.8,1007.3,3836.5,4245.9,9323.4,19.3,37.0,5.7,20136.9,20237.0
